date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:48	122641/122641	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/index.html	(from )
17:30:48	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2026%20Jan%202020%2020:30:48%20GMT	https://www.neurolake.io/robots.txt		(from )
17:30:49	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/Meus%20Sites/Site%20Neurolake/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://www.neurolake.io/)
17:30:49	26504/26504	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:26:36%20GMT	https://www.neurolake.io/wp-includes/css/dist/block-library/style.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-includes/css/dist/block-library/style.min.css	(from https://www.neurolake.io/)
17:30:49	70428/70428	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/woo-gutenberg-products-block/build/vendors.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/woo-gutenberg-products-block/build/vendors.css	(from https://www.neurolake.io/)
17:30:49	10019/10019	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/woo-gutenberg-products-block/build/featured-product.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/woo-gutenberg-products-block/build/featured-product.css	(from https://www.neurolake.io/)
17:30:49	1535/1535	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://www.neurolake.io/)
17:30:50	3432/3432	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/radiantthemes-mega-menu/assets/css/rt-megamenu.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/radiantthemes-mega-menu/assets/css/rt-megamenu.css	(from https://www.neurolake.io/)
17:30:50	33244/33244	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/revslider/public/assets/css/settings.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/revslider/public/assets/css/settings.css	(from https://www.neurolake.io/)
17:30:50	17243/17243	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css	(from https://www.neurolake.io/)
17:30:50	6989/6989	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css	(from https://www.neurolake.io/)
17:30:51	65122/65122	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/woocommerce/assets/css/woocommerce.css	(from https://www.neurolake.io/)
17:30:51	127498/127498	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/bootstrap.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/bootstrap.min.css	(from https://www.neurolake.io/)
17:30:51	32516/32516	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/font-awesome.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/font-awesome.min.css	(from https://www.neurolake.io/)
17:30:51	14716/14716	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/elusive-icons.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/elusive-icons.min.css	(from https://www.neurolake.io/)
17:30:52	18967/18967	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/animate.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/animate.min.css	(from https://www.neurolake.io/)
17:30:52	505823/505823	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:41%20GMT	https://www.neurolake.io/wp-content/plugins/js_composer/assets/css/js_composer.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/plugins/js_composer/assets/css/js_composer.min.css	(from https://www.neurolake.io/)
17:30:53	143408/143408	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:42%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-custom.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-custom.css	(from https://www.neurolake.io/)
17:30:53	4332/4332	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:44%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-responsive.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-responsive.css	(from https://www.neurolake.io/)
17:30:53	16187/16187	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:44%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/spinkit.min.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/spinkit.min.css	(from https://www.neurolake.io/)
17:30:53	14904/14904	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2020:25:43%20GMT	https://www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-header-style-eleven.css	C:/Meus%20Sites/Site%20Neurolake/www.neurolake.io/wp-content/themes/unbound/css/radiantthemes-header-style-eleven.css	(from https://www.neurolake.io/)
